,shower,dt,dxy,E,em_scintillator_array,origin,muon_detector_array
165,166,878,12362,6818,2331,14,252
166,167,2222,7823,417,697,14,25
167,168,2049,9787,1771,673,14,75
168,169,9922,8175,548,776,14,35
169,170,767,8583,752,1017,14,48
170,171,12854,7521,958,2106,14,52
171,172,573,6244,2553,1310,14,73
172,173,18715,8144,1002,588,14,41
173,174,10162,8503,849,1778,14,51
174,175,1413,8190,762,1142,14,35
175,176,5045,11562,6236,2029,14,223
176,177,21136,8890,1444,825,14,45
177,178,13593,7636,2641,2135,14,41
178,179,1235,9878,1465,1166,14,110
179,180,4935,9406,1058,1082,14,56
180,181,1809,9860,893,1058,14,58
181,182,23397,10718,1284,824,14,63
182,183,7636,11354,1955,843,14,59
183,184,9386,9464,2534,2135,14,159
184,185,16628,8059,693,1057,14,55
185,186,5454,8006,880,974,14,79
186,187,32939,8827,2050,1631,14,111
187,188,9712,8409,279,852,14,18
188,189,10696,8870,621,861,14,39
189,190,6700,10398,1679,899,14,74
190,191,10616,9465,943,1066,14,57
191,192,1996,8984,1251,1138,14,73
192,193,3924,9314,1344,675,14,63
193,194,8670,8485,661,765,14,54
194,195,3011,7038,1130,1743,14,50
195,196,10170,8264,1946,1642,14,143
196,197,20165,8398,719,1811,14,61
197,198,10766,8976,889,741,14,49
198,199,4112,8170,476,753,14,28
199,200,18070,8842,2102,1225,14,144
200,201,10442,9519,1736,739,14,35
201,202,6004,9973,2115,654,14,22
202,203,45151,6986,13996,1032,14,53
203,204,12483,11205,448,707,14,45
204,205,1844,10354,3665,902,14,177
205,206,9182,7364,8165,1216,14,162
206,207,6731,11290,3040,1075,14,126
207,208,23485,8326,7311,850,14,100
208,209,2982,9226,1044,677,14,35
209,210,8568,9280,920,1219,14,49
210,211,9877,8453,3995,2303,14,94
211,212,12082,8056,1314,1627,14,58
212,213,21842,9928,2389,672,14,81
213,214,26285,12375,2962,588,14,59
214,215,16137,6705,1715,956,14,60
215,216,20398,9784,555,591,14,52
216,217,17856,8935,7231,707,14,34
217,218,14605,8967,349,926,14,24
218,219,22019,10207,6055,1195,14,97
219,220,26265,5988,1580,1241,14,58
220,221,1083,10968,1126,920,14,62
221,222,14845,6050,518,1632,14,32
222,223,7722,10078,2651,779,14,85
223,224,12343,8761,1450,542,14,26
224,225,6049,7983,3798,2715,14,71
225,226,18479,11361,1567,812,14,68
226,227,2541,7029,1156,2169,14,53
227,228,43779,5905,1054,873,14,24
228,229,26774,8940,1222,1268,14,70
229,230,2431,8939,1706,934,14,50
230,231,25483,10859,1799,1317,14,100
231,232,14353,6619,779,1006,14,59
232,233,918,8957,1672,1361,14,70
233,234,15095,7666,1314,1439,14,46
234,235,17474,6222,858,1171,14,47
235,236,8738,7947,534,820,14,41
236,237,10343,7537,1066,2317,14,50
237,238,19858,5344,1931,1812,14,44
238,239,6747,7858,21097,2360,14,241
239,240,5542,9592,3785,745,14,67
240,241,2785,6766,2259,1921,14,174
241,242,19737,12335,1773,577,14,54
242,243,17243,9100,369,723,14,31
243,244,12643,10810,1794,1148,14,74
244,245,17696,7179,1740,716,14,44
245,246,52,8718,748,1016,14,53
246,247,30843,7218,3335,1551,14,42
247,248,9761,7878,677,1486,14,36
248,249,16245,8299,1924,2748,14,49
249,250,5288,8259,1571,849,14,31
250,251,3298,9643,10882,1294,14,47
251,252,6522,5905,2592,1216,14,99
252,253,6101,6459,1279,797,14,46
253,254,10472,8377,1120,1253,14,37
254,255,11114,5975,5237,827,14,57
255,256,1117,7585,10665,684,14,65
256,257,22280,6747,9429,842,14,19
257,258,10942,6833,4136,2581,14,188
258,259,734,8930,4438,920,14,47
259,260,4892,8052,813,764,14,52
260,261,3467,7022,1507,1911,14,47
261,262,16849,7930,1916,859,14,62
262,263,2880,9638,1762,1482,14,107
263,264,34571,11809,2313,545,14,48
264,265,7185,5513,840,1126,14,58
265,266,8226,9649,1396,836,14,64
266,267,2718,9286,583,895,14,34
267,268,33963,7528,3036,1858,14,154
268,269,13566,9487,815,625,14,32
269,270,15304,8222,7179,949,14,122
270,271,8808,6843,1395,1934,14,64
271,272,6676,8253,8848,3964,14,177
272,273,505,5631,871,1659,14,64
273,274,8069,10219,1376,1060,14,72
274,275,1162,6458,1188,3922,14,70
275,276,3697,6338,1092,3143,14,51
276,277,2288,5928,5878,1447,14,96
277,278,4329,5985,3138,2884,14,79
278,279,8256,9493,3102,1522,14,134
279,280,12980,9106,688,1265,14,44
280,281,6944,8267,1766,1662,14,55
281,282,4867,9841,722,882,14,63
282,283,19129,10322,1049,752,14,38
283,284,4374,8999,1069,683,14,63
284,285,41010,10452,747,750,14,64
285,286,15368,8326,1273,742,14,74
286,287,1979,6588,1081,884,14,70
287,288,978,7409,2872,1803,14,143
288,289,26602,9394,3611,1282,14,106
289,290,2996,7461,1399,1849,14,85
290,291,11965,7460,1396,1602,14,58
291,292,5167,7326,1170,1390,14,60
292,293,15030,11767,1639,521,14,31
293,294,8323,9345,619,897,14,38
294,295,427,10363,1508,745,14,72
295,296,3277,10760,397,550,14,37
296,297,12107,6767,28540,480,14,27
